ID,Name,Street,City,State,Zip,Address,latitude,longitude
123,LATINO SERVICES,1799 Lakewood Ter Se,Atlanta,GA,30315,"1799 Lakewood Ter Se,Atlanta,GA,30315 ",33.7051301,-84.3792808
124,M & G Check Cashing,1292 Donnelly Ave Sw,Atlanta,GA,30310,"1292 Donnelly Ave Sw,Atlanta,GA,30310 ",33.734643,-84.4297339
125,Magic Check Cashing,5195 Old National Hwy,Atlanta,GA,30349,"5195 Old National Hwy,Atlanta,GA,30349 ",33.6135767,-84.4733312
126,Merchant Data Services Inc,3300 Buckeye Road Suite 700,Atlanta,GA,30341,"3300 Buckeye Road Suite 700,Atlanta,GA,30341 ",33.8858994,-84.2583494
127,Merchant Services,4470 Chamblee Dunwoody Road Suite 255,Atlanta,GA,30338,"4470 Chamblee Dunwoody Road Suite 255,Atlanta,GA,30338 ",33.921101,-84.3172069
128,MONEY MARKET,8725 Roswell Rd Ste 5,Atlanta,GA,30350,"8725 Roswell Rd Ste 5,Atlanta,GA,30350 ",33.9947921,-84.3500775
129,Money Market Of Atlanta,209 Edgewood Avenue Southeast,Atlanta,GA,30303,"209 Edgewood Avenue Southeast,Atlanta,GA,30303 ",33.7539261,-84.3799603
130,MONEY WORLD,55 Moreland Ave Se,Atlanta,GA,30316,"55 Moreland Ave Se,Atlanta,GA,30316 ",33.7521164,-84.3496945
131,Money World No 3 Inc,1195 Wylie St Se,Atlanta,GA,30316,"1195 Wylie St Se,Atlanta,GA,30316 ",33.7520696,-84.3496077
132,Moss Pawn,6382 Old Dixie Highway,Atlanta,GA,30303,"6382 Old Dixie Highway,Atlanta,GA,30303 ",33.5806303,-84.3744194
133,MR PAYROLL,689 Boulevard Ne,Atlanta,GA,30308,"689 Boulevard Ne,Atlanta,GA,30308 ",33.7735118,-84.3704815
134,Myong H Lee Inc,3253 Buford Hwy Ne,Atlanta,GA,30329,"3253 Buford Hwy Ne,Atlanta,GA,30329 ",33.8412563,-84.3290047
135,N Go Cash Inc,5441 Riverdale Rd,Atlanta,GA,30349,"5441 Riverdale Rd,Atlanta,GA,30349 ",33.6071333,-84.4359745
136,N R M C Financial Services,1955 Campbellton Rd Sw,Atlanta,GA,30311,"1955 Campbellton Rd Sw,Atlanta,GA,30311 ",33.7086287,-84.4531748
137,Nice Check Cashing,1153 Rlph Dvd Abrnthy,Atlanta,GA,30310,"1153 Rlph Dvd Abrnthy,Atlanta,GA,30310 ",33.7385863,-84.4255127
138,Nice Check Cashing Inc,4891 Roosevelt Hwy,Atlanta,GA,30349,"4891 Roosevelt Hwy,Atlanta,GA,30349 ",33.5983307,-84.5481864
139,Nice Check Cashing Inc,4891 Roosevelt Highway,Atlanta,GA,30349,"4891 Roosevelt Highway,Atlanta,GA,30349 ",33.5983307,-84.5481864
140,Nice Check Cashing Inc,5195 Old National Highway,Atlanta,GA,30349,"5195 Old National Highway,Atlanta,GA,30349 ",33.6135767,-84.4733312
141,Nice Check Cashing Inc,2636 Mrtn Lthr Kng Jr Drive Suite 26,Atlanta,GA,30311,"2636 Mrtn Lthr Kng Jr Drive Suite 26,Atlanta,GA,30311 ",33.7530965,-84.4740456
142,Nice Check Cashing Inc,2636 Mrtn Lthr Kng Jr Drive Suite 26,Atlanta,GA,30311,"2636 Mrtn Lthr Kng Jr Drive Suite 26,Atlanta,GA,30311 ",33.7530965,-84.4740456
143,Nice Check Cashing Inc,2636 Mlk J,Atlanta,GA,30311,"2636 Mlk J,Atlanta,GA,30311 ",33.7530965,-84.4740456
144,Nice Check Cashing Inc,31-B Forsyth St Nw,Atlanta,GA,30303,"31-B Forsyth St Nw,Atlanta,GA,30303 ",33.7554829,-84.3908154
145,NICE FINANCIAL SERVICES,31 Forsyth St Sw,Atlanta,GA,30303,"31 Forsyth St Sw,Atlanta,GA,30303 ",33.7536377,-84.3930109
146,NICE FINANCIAL SERVICES,1153 Ralph David Abernathy Blv,Atlanta,GA,30310,"1153 Ralph David Abernathy Blv,Atlanta,GA,30310 ",,
147,NICE FINANCIAL SERVICES,4395 Fulton Industrial Blvd Sw,Atlanta,GA,30336,"4395 Fulton Industrial Blvd Sw,Atlanta,GA,30336 ",33.765416,-84.5312242
148,North River Check Cashing,8805 Roswell Rd,Atlanta,GA,30350,"8805 Roswell Rd,Atlanta,GA,30350 ",33.9987651,-84.3492425
149,Now Check Cashing Inc,1352 Lakewood Ave Se,Atlanta,GA,30315,"1352 Lakewood Ave Se,Atlanta,GA,30315 ",33.7174821,-84.3815959
150,P And C Check Cashers,Taco Super Market,Atlanta,GA,30303,"Taco Super Market,Atlanta,GA,30303 ",33.843321,-84.328905
151,Paras Check Cashing,5674 Roswell Road Northeast,Atlanta,GA,30342,"5674 Roswell Road Northeast,Atlanta,GA,30342 ",33.9096267,-84.3791451
152,Recheck Corporation,4470 Chamblee Dunwoody Road Suite 255,Atlanta,GA,30338,"4470 Chamblee Dunwoody Road Suite 255,Atlanta,GA,30338 ",33.921101,-84.3172069
153,Salandy Associates,2895 Laurel Lane,Atlanta,GA,30344,"2895 Laurel Lane,Atlanta,GA,30344 ",33.676556,-84.459134
154,Secondi Inc,1954 Airport Rd Ste 209,Atlanta,GA,30341,"1954 Airport Rd Ste 209,Atlanta,GA,30341 ",33.8772492,-84.3081686
155,Security Check,2255 Cumberland Parkway Southeast,Atlanta,GA,30339,"2255 Cumberland Parkway Southeast,Atlanta,GA,30339 ",33.8568668,-84.4813316
156,Super Check Cash,3330 Buford Hwy Ne,Atlanta,GA,30329,"3330 Buford Hwy Ne,Atlanta,GA,30329 ",33.8430015,-84.3292825
157,Taco Market,3304 Buford Highway Northeast,Atlanta,GA,30329,"3304 Buford Highway Northeast,Atlanta,GA,30329 ",33.8430869,-84.3292107
158,Taurino Store Inc,2726 Shallowford Rd Ne,Atlanta,GA,30341,"2726 Shallowford Rd Ne,Atlanta,GA,30341 ",33.8667808,-84.2901929
159,Telecheck,5775 Peachtre Dnwdy Road Northeast,Atlanta,GA,30342,"5775 Peachtre Dnwdy Road Northeast,Atlanta,GA,30342 ",33.9117462,-84.3505783
160,Termnet Merchant Services Inc,2030 Powers Ferry Road Southeast Suite 134,Atlanta,GA,30339,"2030 Powers Ferry Road Southeast Suite 134,Atlanta,GA,30339 ",33.9008151,-84.4525145
161,Tower Beer Wine Spirits,2161 Piedmont Road Northeast,Atlanta,GA,30324,"2161 Piedmont Road Northeast,Atlanta,GA,30324 ",33.8155829,-84.3658698
162,TOWER PACKAGE STORE,2161 Piedmont Rd Ne,Atlanta,GA,30324,"2161 Piedmont Rd Ne,Atlanta,GA,30324 ",33.8155829,-84.3658698
163,Tower Package Stores,5877 Buford Highway Northeast,Atlanta,GA,30340,"5877 Buford Highway Northeast,Atlanta,GA,30340 ",33.9101897,-84.2648608
164,TRIMAX FINANCIAL,2740 Greenbriar Pkwy Sw Ste B1,Atlanta,GA,30331,"2740 Greenbriar Pkwy Sw Ste B1,Atlanta,GA,30331 ",33.6885136,-84.4887038
